series,x,reference_j,value,comparison_value
normalized_brightness,0,,0,0
normalized_brightness,5,,0.223606797749979,0.05
normalized_brightness,10,,0.316227766016838,0.1
normalized_brightness,15,,0.387298334620742,0.15
normalized_brightness,20,,0.447213595499958,0.2
normalized_brightness,25,,0.5,0.25
normalized_brightness,30,,0.547722557505166,0.3
normalized_brightness,35,,0.591607978309962,0.35
normalized_brightness,40,,0.632455532033676,0.4
normalized_brightness,45,,0.670820393249937,0.45
normalized_brightness,50,,0.707106781186548,0.5
normalized_brightness,55,,0.741619848709566,0.55
normalized_brightness,60,,0.774596669241483,0.6
normalized_brightness,65,,0.806225774829855,0.65
normalized_brightness,70,,0.836660026534076,0.7
normalized_brightness,75,,0.866025403784439,0.75
normalized_brightness,80,,0.894427190999916,0.8
normalized_brightness,85,,0.921954445729289,0.85
normalized_brightness,90,,0.948683298050514,0.9
normalized_brightness,95,,0.974679434480896,0.95
normalized_brightness,100,,1,1
isolated_ncb_factor,20,,1,
isolated_ncb_factor,10,,1.1328838852958,
isolated_ncb_factor,5,,1.2834258975629,
isolated_ncb_factor,2,,1.51356124843621,
isolated_ncb_factor,1,,1.71468914776157,
isolated_ncb_factor,0.5,,1.94254370379067,
isolated_ncb_factor,0.2,,2.29086765276777,
isolated_ncb_factor,0.1,,2.59528704716602,
cam16_chroma_expression,20,10,1,
cam16_chroma_expression,20,20,1,
cam16_chroma_expression,20,30,1,
cam16_chroma_expression,20,40,1,
cam16_chroma_expression,20,50,1,
cam16_chroma_expression,20,60,1,
cam16_chroma_expression,20,70,1,
cam16_chroma_expression,20,80,1,
cam16_chroma_expression,20,90,1,
cam16_chroma_expression,10,10,1.11620005351814,
cam16_chroma_expression,10,20,1.09021479599894,
cam16_chroma_expression,10,30,1.07529573843914,
cam16_chroma_expression,10,40,1.06483447807476,
cam16_chroma_expression,10,50,1.0567902329289,
cam16_chroma_expression,10,60,1.05026273778252,
cam16_chroma_expression,10,70,1.04477528453549,
cam16_chroma_expression,10,80,1.04004501668665,
cam16_chroma_expression,10,90,1.03589040464652,
cam16_chroma_expression,5,10,1.26294486610093,
cam16_chroma_expression,5,20,1.21316743899178,
cam16_chroma_expression,5,30,1.18496402958973,
cam16_chroma_expression,5,40,1.16535192828619,
cam16_chroma_expression,5,50,1.15036341322336,
cam16_chroma_expression,5,60,1.13826012176834,
cam16_chroma_expression,5,70,1.1281263369809,
cam16_chroma_expression,5,80,1.11942100744887,
cam16_chroma_expression,5,90,1.11179813870776,
cam16_chroma_expression,2,10,1.50593333146274,
cam16_chroma_expression,2,20,1.42535627778826,
cam16_chroma_expression,2,30,1.38023544271256,
cam16_chroma_expression,2,40,1.34909061124042,
cam16_chroma_expression,2,50,1.32541759747091,
cam16_chroma_expression,2,60,1.30638402908933,
cam16_chroma_expression,2,70,1.2905047784647,
cam16_chroma_expression,2,80,1.27690564506528,
cam16_chroma_expression,2,90,1.26502935921442,
cam16_chroma_expression,1,10,1.72538566359879,
cam16_chroma_expression,1,20,1.62094721464455,
cam16_chroma_expression,1,30,1.56281028783331,
cam16_chroma_expression,1,40,1.52283047674314,
cam16_chroma_expression,1,50,1.49252541484849,
cam16_chroma_expression,1,60,1.46821260691216,
cam16_chroma_expression,1,70,1.44796566598341,
cam16_chroma_expression,1,80,1.43065279359282,
cam16_chroma_expression,1,90,1.41555366274654,
cam16_chroma_expression,0.5,10,1.97549517200043,
cam16_chroma_expression,0.5,20,1.84616779089963,
cam16_chroma_expression,0.5,30,1.77447736042308,
cam16_chroma_expression,0.5,40,1.72530693087134,
cam16_chroma_expression,0.5,50,1.6881076376897,
cam16_chroma_expression,0.5,60,1.65830977211468,
cam16_chroma_expression,0.5,70,1.6335267648706,
cam16_chroma_expression,0.5,80,1.61235832430061,
cam16_chroma_expression,0.5,90,1.5939142485808,
cam16_chroma_expression,0.2,10,2.35628879462825,
cam16_chroma_expression,0.2,20,2.19176483378036,
cam16_chroma_expression,0.2,30,2.1009025765552,
cam16_chroma_expression,0.2,40,2.03872848589179,
cam16_chroma_expression,0.2,50,1.99177245463586,
cam16_chroma_expression,0.2,60,1.95421053522377,
cam16_chroma_expression,0.2,70,1.92300556734071,
cam16_chroma_expression,0.2,80,1.89637764742199,
cam16_chroma_expression,0.2,90,1.87319637823625,
cam16_chroma_expression,0.1,10,2.68659339413375,
cam16_chroma_expression,0.1,20,2.49312688724795,
cam16_chroma_expression,0.1,30,2.38648070203871,
cam16_chroma_expression,0.1,40,2.3135922575745,
cam16_chroma_expression,0.1,50,2.25859218838702,
cam16_chroma_expression,0.1,60,2.214625859329,
cam16_chroma_expression,0.1,70,2.17812124616832,
cam16_chroma_expression,0.1,80,2.14698624513945,
cam16_chroma_expression,0.1,90,2.11989285525639,
