name,reference_L,reference_a,reference_b,image_L,image_a,image_b,printed_delta_e_94
Dark skin,36.23,13.68,14.59,38.05,15.34,15.03,2.09
Orange,59.26,32.77,56.30,60.15,32.37,56.45,0.91
Blue,26.63,18.17,-50.53,26.74,5.35,-49.87,7.02
White,88.42,0.32,3.96,91.71,1.43,4.50,3.48
Light skin,64.62,15.48,17.94,65.47,18.42,16.54,2.46
Purplish blue,38.71,9.08,-43.15,39.43,1.91,-41.67,4.35
Green,53.01,-38.85,32.73,53.85,-32.55,30.57,2.60
Neutral 8,75.76,-0.05,1.56,78.25,-0.06,1.35,2.50
Blue sky,47.73,-4.39,-20.78,48.34,-5.88,-20.78,1.27
Moderate red,50.71,47.19,16.50,55.01,50.91,16.10,4.50
Red,40.94,55.89,27.14,46.97,63.71,27.69,6.47
Neutral 6.5,62.72,-0.04,0.49,63.26,-0.50,0.75,0.75
Foliage,41.31,-13.41,21.97,42.46,-12.00,25.73,2.71
Purple,30.01,21.35,-20.24,33.58,21.83,-14.48,5.12
Yellow,79.98,3.80,77.06,81.36,5.89,84.60,2.27
Neutral 5,49.21,-0.63,0.30,49.06,-1.13,0.57,0.57
Blue flower,54.18,7.97,-21.92,56.04,8.23,-21.39,1.90
Yellow green,71.09,-22.58,56.52,72.78,-19.81,60.27,2.72
Magenta,50.69,50.40,-12.73,56.48,54.71,-7.17,6.82
Neutral 3.5,34.46,-0.64,-0.25,36.01,-1.23,0.31,1.74
Bluish green,66.76,-32.13,0.14,65.56,-27.35,-2.85,3.21
Orange yellow,69.19,18.27,65.42,67.68,15.85,75.21,3.42
Cyan,47.33,-27.85,-27.24,45.93,-21.83,-31.55,4.88
Black,22.11,-0.03,-0.86,21.68,-0.24,-0.48,0.59
