file,bin_row,bin_col,r_relative,g1_relative,g2_relative,b_relative,green_relative,c_rg,c_bg,c_g1g2
flat-field-19,0,0,0.50073529,0.51202887,0.51147279,0.53012352,0.51175083,0.97847481,1.03590164,1.00108722
flat-field-19,0,1,0.56936275,0.57952419,0.57910886,0.59692463,0.57931652,0.98281806,1.03039462,1.00071719
flat-field-19,0,2,0.64877451,0.65704357,0.65715048,0.67406100,0.65709703,0.98733442,1.02581655,0.99983731
flat-field-19,0,3,0.69975490,0.70636194,0.70664354,0.71968742,0.70650274,0.99044896,1.01866190,0.99960149
flat-field-19,0,4,0.76446078,0.76944667,0.76961046,0.78043862,0.76952857,0.99341443,1.01417758,0.99978718
flat-field-19,0,5,0.80049020,0.80620155,0.80669691,0.81497353,0.80644923,0.99261078,1.01057017,0.99938595
flat-field-19,0,6,0.80563725,0.81221599,0.81296692,0.82127552,0.81259145,0.99144195,1.01068689,0.99907631
flat-field-19,0,7,0.81691176,0.82304197,0.82377268,0.83009831,0.82340732,0.99211137,1.00812598,0.99911297
flat-field-19,0,8,0.81544118,0.82076985,0.82163821,0.82707336,0.82120403,0.99298244,1.00714722,0.99894314
flat-field-19,0,9,0.80147059,0.80727078,0.80803095,0.81446937,0.80765087,0.99234783,1.00844239,0.99905924
flat-field-19,0,10,0.77720588,0.78361401,0.78428495,0.79279052,0.78394948,0.99139792,1.01127757,0.99914451
flat-field-19,0,11,0.74387255,0.75113606,0.75160085,0.76228888,0.75136846,0.99002366,1.01453405,0.99938159
flat-field-19,0,12,0.69803922,0.70649559,0.70677695,0.71993950,0.70663627,0.98783384,1.01882614,0.99960191
flat-field-19,0,13,0.63750000,0.64621759,0.64661153,0.66296950,0.64641456,0.98620923,1.02561041,0.99939077
flat-field-19,0,14,0.58995098,0.60130981,0.60138741,0.62036804,0.60134861,0.98104655,1.03162796,0.99987097
flat-field-19,0,15,0.61446078,0.62817428,0.62700107,0.65565919,0.62758768,0.97908357,1.04472923,1.00187116
flat-field-19,1,0,0.53284314,0.54423951,0.54335646,0.56163348,0.54379798,0.97985494,1.03279801,1.00162518
flat-field-19,1,1,0.60637255,0.61668003,0.61632871,0.63372826,0.61650437,0.98356569,1.02793798,1.00057003
flat-field-19,1,2,0.67745098,0.68577920,0.68583244,0.70002521,0.68580582,0.98781748,1.02073383,0.99992237
flat-field-19,1,3,0.73848039,0.74458701,0.74413020,0.75573481,0.74435861,0.99210298,1.01528323,1.00061388
flat-field-19,1,4,0.80686275,0.81168137,0.81176628,0.82127552,0.81172382,0.99401142,1.01176718,0.99989540
flat-field-19,1,5,0.84338235,0.84790163,0.84818570,0.85530628,0.84804366,0.99450345,1.00856396,0.99966509
flat-field-19,1,6,0.85514706,0.86073242,0.86059232,0.86715402,0.86066237,0.99359178,1.00754262,1.00016280
flat-field-19,1,7,0.87034314,0.87516707,0.87540021,0.88001008,0.87528364,0.99435554,1.00539990,0.99973367
flat-field-19,1,8,0.86911765,0.87369687,0.87406617,0.87849761,0.87388152,0.99454860,1.00528228,0.99957750
flat-field-19,1,9,0.85710784,0.86206897,0.86259338,0.86740610,0.86233117,0.99394278,1.00588512,0.99939205
flat-field-19,1,10,0.82990196,0.83493718,0.83551227,0.84219813,0.83522473,0.99362714,1.00834914,0.99931169
flat-field-19,1,11,0.79264706,0.79925154,0.79949306,0.80841946,0.79937230,0.99158685,1.01131783,0.99969790
flat-field-19,1,12,0.74607843,0.75367549,0.75413554,0.76556592,0.75390551,0.98961795,1.01546667,0.99938996
flat-field-19,1,13,0.68627451,0.69460037,0.69517076,0.70960423,0.69488557,0.98760795,1.02118143,0.99917951
flat-field-19,1,14,0.63088235,0.64127239,0.64100854,0.65918830,0.64114046,0.98400022,1.02814959,1.00041162
flat-field-19,1,15,0.64803922,0.66132050,0.66115261,0.68666499,0.66123656,0.98004142,1.03845587,1.00025393
flat-field-19,2,0,0.56127451,0.57297514,0.57230523,0.58911016,0.57264018,0.98015215,1.02876147,1.00117055
flat-field-19,2,1,0.64068627,0.65022721,0.64967983,0.66574237,0.64995352,0.98574168,1.02429228,1.00084254
flat-field-19,2,2,0.70882353,0.71678696,0.71638207,0.73052685,0.71658451,0.98916948,1.01945665,1.00056518
flat-field-19,2,3,0.77230392,0.77880246,0.77841515,0.79001765,0.77860881,0.99190237,1.01465285,1.00049756
flat-field-19,2,4,0.84142157,0.84562951,0.84511740,0.85379380,0.84537345,0.99532528,1.00996050,1.00060597
flat-field-19,2,5,0.88406863,0.88799786,0.88794023,0.89362238,0.88796905,0.99560748,1.00636659,1.00006490
flat-field-19,2,6,0.90024510,0.90470462,0.90461580,0.90899924,0.90466021,0.99511959,1.00479631,1.00009820
flat-field-19,2,7,0.91764706,0.92060946,0.92089114,0.92387194,0.92075030,0.99662966,1.00339032,0.99969412
flat-field-19,2,8,0.91568627,0.91833734,0.91848986,0.92135115,0.91841360,0.99703039,1.00319850,0.99983395
flat-field-19,2,9,0.90343137,0.90644213,0.90661686,0.91051172,0.90652950,0.99658244,1.00439283,0.99980727
flat-field-19,2,10,0.87328431,0.87717188,0.87726788,0.88253088,0.87721988,0.99551359,1.00605436,0.99989057
flat-field-19,2,11,0.83431373,0.83921411,0.83938100,0.84648349,0.83929756,0.99406190,1.00856184,0.99980118
flat-field-19,2,12,0.78553922,0.79230152,0.79268943,0.80211747,0.79249548,0.99122233,1.01214138,0.99951064
flat-field-19,2,13,0.72573529,0.73416199,0.73399146,0.74691202,0.73407673,0.98863684,1.01748496,1.00023233
flat-field-19,2,14,0.65490196,0.66332531,0.66315368,0.68086715,0.66323950,0.98742907,1.02657812,1.00025881
flat-field-19,2,15,0.64828431,0.66011762,0.65955176,0.68288379,0.65983469,0.98249505,1.03493163,1.00085794
flat-field-19,3,0,0.58284314,0.59369153,0.59298292,0.61003277,0.59333723,0.98231345,1.02813837,1.00119498
flat-field-19,3,1,0.66519608,0.67455226,0.67435966,0.68943786,0.67445596,0.98627059,1.02221332,1.00028560
flat-field-19,3,2,0.73504902,0.74244854,0.74212914,0.75497857,0.74228884,0.99024663,1.01709541,1.00043039
flat-field-19,3,3,0.79754902,0.80366212,0.80322839,0.81371313,0.80344526,0.99266131,1.01277981,1.00053999
flat-field-19,3,4,0.86715686,0.87129110,0.87073106,0.87824553,0.87101108,0.99557501,1.00830580,1.00064319
flat-field-19,3,5,0.91519608,0.91833734,0.91835646,0.92336778,0.91834690,0.99656903,1.00546731,0.99997919
flat-field-19,3,6,0.93848039,0.94105854,0.94103522,0.94403832,0.94104688,0.99727273,1.00317884,1.00002478
flat-field-19,3,7,0.95833333,0.95977011,0.95997866,0.96168389,0.95987439,0.99839453,1.00188515,0.99978277
flat-field-19,3,8,0.95661765,0.95803261,0.95824440,0.95966725,0.95813850,0.99841270,1.00159554,0.99977899
flat-field-19,3,9,0.94044118,0.94252874,0.94263607,0.94504663,0.94258240,0.99772834,1.00261434,0.99988613
flat-field-19,3,10,0.90759804,0.91085271,0.91088581,0.91454500,0.91086926,0.99640868,1.00403542,0.99996367
flat-field-19,3,11,0.86446078,0.86848436,0.86859658,0.87471641,0.86854047,0.99530282,1.00711071,0.99987080
flat-field-19,3,12,0.81470588,0.82117081,0.82123799,0.82959415,0.82120440,0.99208660,1.01021640,0.99991819
flat-field-19,3,13,0.75490196,0.76276397,0.76267343,0.77438871,0.76271870,0.98975148,1.01530054,1.00011872
flat-field-19,3,14,0.68284314,0.69165998,0.69143543,0.70708344,0.69154771,0.98741291,1.02246516,1.00032476
flat-field-19,3,15,0.64142157,0.65209837,0.65154749,0.67128813,0.65182293,0.98404266,1.02986271,1.00084549
flat-field-19,4,0,0.60098039,0.61173483,0.61112593,0.62717419,0.61143038,0.98290895,1.02574914,1.00099635
flat-field-19,4,1,0.68284314,0.69165998,0.69143543,0.70531888,0.69154771,0.98741291,1.01991355,1.00032476
flat-field-19,4,2,0.75269608,0.75982358,0.75947172,0.77136375,0.75964765,0.99084896,1.01542308,1.00046329
flat-field-19,4,3,0.81887255,0.82491312,0.82470651,0.83337535,0.82480982,0.99280165,1.01038485,1.00025053
flat-field-19,4,4,0.88553922,0.88906709,0.88900747,0.89538694,0.88903728,0.99606533,1.00714217,1.00006707
flat-field-19,4,5,0.93529412,0.93785084,0.93770011,0.94151752,0.93777547,0.99735400,1.00399034,1.00016075
flat-field-19,4,6,0.96519608,0.96631917,0.96638207,0.96874212,0.96635062,0.99880526,1.00247478,0.99993491
flat-field-19,4,7,0.98823529,0.98863940,0.98866062,0.98916057,0.98865001,0.99958052,1.00051643,0.99997854
flat-field-19,4,8,0.98602941,0.98623363,0.98652615,0.98714394,0.98637989,0.99964469,1.00077460,0.99970348
flat-field-19,4,9,0.96691176,0.96805667,0.96824973,0.96949836,0.96815320,0.99871773,1.00138941,0.99980061
flat-field-19,4,10,0.93112745,0.93303929,0.93329776,0.93597177,0.93316853,0.99781275,1.00300400,0.99972306
flat-field-19,4,11,0.88382353,0.88732959,0.88740662,0.89210991,0.88736810,0.99600552,1.00534367,0.99991320
flat-field-19,4,12,0.83014706,0.83560545,0.83564568,0.84295437,0.83562557,0.99344383,1.00877045,0.99995186
flat-field-19,4,13,0.77303922,0.78067362,0.78041622,0.79052180,0.78054492,0.99038402,1.01278195,1.00032982
flat-field-19,4,14,0.70245098,0.71144079,0.71131270,0.72573733,0.71137675,0.98745283,1.02018704,1.00018008
flat-field-19,4,15,0.63578431,0.64595028,0.64554429,0.66422990,0.64574729,0.98457141,1.02862205,1.00062891
flat-field-19,5,0,0.61176471,0.62229350,0.62153148,0.63725737,0.62191249,0.98368293,1.02467370,1.00122604
flat-field-19,5,1,0.69044118,0.69994654,0.69890608,0.71262919,0.69942631,0.98715357,1.01887673,1.00148869
flat-field-19,5,2,0.76151961,0.76891206,0.76840982,0.77943030,0.76866094,0.99070939,1.01401055,1.00065361
flat-field-19,5,3,0.82990196,0.83614007,0.83577908,0.84371061,0.83595958,0.99275370,1.00927202,1.00043192
flat-field-19,5,4,0.89509804,0.89855654,0.89821238,0.90370557,0.89838446,0.99634186,1.00592298,1.00038316
flat-field-19,5,5,0.94411765,0.94667201,0.94637140,0.94933199,0.94652171,0.99746011,1.00296906,1.00031765
flat-field-19,5,6,0.98039216,0.98142208,0.98118997,0.98285858,0.98130602,0.99906872,1.00158214,1.00023656
flat-field-19,5,7,1.00049020,1.00053462,1.00053362,1.00025208,1.00053412,0.99995610,0.99971811,1.00000100
flat-field-19,5,8,0.99754902,0.99786153,0.99799893,0.99823544,0.99793023,0.99961800,1.00030584,0.99986233
flat-field-19,5,9,0.97720588,0.97794707,0.97798826,0.97882531,0.97796767,0.99922105,1.00087696,0.99995789
flat-field-19,5,10,0.94191176,0.94359797,0.94356990,0.94605495,0.94358394,0.99822785,1.00261876,1.00002974
flat-field-19,5,11,0.89362745,0.89681903,0.89687834,0.90093269,0.89684868,0.99640828,1.00455373,0.99993388
flat-field-19,5,12,0.83602941,0.84135258,0.84124867,0.84799597,0.84130062,0.99373445,1.00795833,1.00012352
flat-field-19,5,13,0.77769608,0.78535151,0.78508538,0.79505924,0.78521844,0.99042003,1.01253256,1.00033898
flat-field-19,5,14,0.71225490,0.72079658,0.72078442,0.73506428,0.72079050,0.98815801,1.01980296,1.00001687
flat-field-19,5,15,0.63284314,0.64194066,0.64167556,0.65969246,0.64180811,0.98603169,1.02786558,1.00041313
flat-field-19,6,0,0.61053922,0.62149158,0.62086446,0.63599698,0.62117802,0.98287318,1.02385621,1.00101007
flat-field-19,6,1,0.69044118,0.69941192,0.69877268,0.71212503,0.69909230,0.98762521,1.01864236,1.00091481
