file,aperture,shutter,accepted,failed_gates,max_near_ceiling_gate,max_near_ceiling_frame,near_ceiling_gate_r,near_ceiling_gate_g1,near_ceiling_gate_g2,near_ceiling_gate_b,near_ceiling_frame_r,near_ceiling_frame_g1,near_ceiling_frame_g2,near_ceiling_frame_b,finite_fraction_gate_r,finite_fraction_gate_g1,finite_fraction_gate_g2,finite_fraction_gate_b,finite_fraction_frame_r,finite_fraction_frame_g1,finite_fraction_frame_g2,finite_fraction_frame_b,green_center_signal,green_asymmetry,dark_controls_verified,comparison_file,max_corner_delta_pp,rms_corner_delta_pp,analysis_policy
flat-field-01,5.6,1:100,false,near_ceiling,1.00000000,0.99999818,1.00000000,1.00000000,1.00000000,1.00000000,0.99944112,0.99999685,0.99999818,0.99944509,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-02,5.6,1:10,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-03,5.6,1:125,false,near_ceiling,1.00000000,0.99983303,1.00000000,1.00000000,1.00000000,1.00000000,0.99913021,0.99983303,0.99983171,0.99915356,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-04,5.6,1:15,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-05,5.6,1:160,false,near_ceiling,1.00000000,0.99959649,1.00000000,1.00000000,1.00000000,1.00000000,0.99867286,0.99959434,0.99959649,0.99872189,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-06,5.6,1:180,false,near_ceiling,1.00000000,0.99948766,1.00000000,1.00000000,1.00000000,1.00000000,0.99840800,0.99948766,0.99948717,0.99847658,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-07,5.6,1:200,false,near_ceiling,1.00000000,0.99937801,1.00000000,1.00000000,1.00000000,1.00000000,0.99808814,0.99937470,0.99937801,0.99819382,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-08,5.6,1:20,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-09,5.6,1:250,false,near_ceiling,1.00000000,0.99905384,1.00000000,1.00000000,1.00000000,1.00000000,0.98169389,0.99905235,0.99905384,0.98725935,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-10,5.6,1:25,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-11,5.6,1:30,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-12,5.6,1:320,false,near_ceiling,1.00000000,0.99856519,1.00000000,1.00000000,1.00000000,1.00000000,0.87769883,0.99856238,0.99856519,0.89944138,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-13,5.6,1:400,false,near_ceiling,1.00000000,0.99740453,1.00000000,1.00000000,1.00000000,1.00000000,0.59077471,0.99738366,0.99740453,0.59429480,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-14,5.6,1:40,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-15,5.6,1:500,false,near_ceiling,1.00000000,0.98290508,1.00000000,1.00000000,1.00000000,1.00000000,0.25722587,0.98283070,0.98290508,0.23771868,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-16,5.6,1:50,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999967,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-17,5.6,1:60,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99993523,1.00000000,1.00000000,0.99991453,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-18,5.6,1:80,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99968064,1.00000000,1.00000000,0.99966888,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-19,8.0,1:1000,true,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.48759685,0.19648388,true,flat-field-20,0.37874764,0.18130868,shading-v2-grid16x12-screening-coverage
flat-field-20,8.0,1:1000,true,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.49417280,0.19996439,true,,,,shading-v2-grid16x12-screening-coverage
flat-field-21,8.0,1:100,false,near_ceiling,1.00000000,0.99983071,1.00000000,1.00000000,1.00000000,1.00000000,0.99948319,0.99983071,0.99982790,0.99958307,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-22,8.0,1:10,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-23,8.0,1:125,false,near_ceiling,1.00000000,0.99976379,1.00000000,1.00000000,1.00000000,1.00000000,0.98930853,0.99976379,0.99976015,0.99387963,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-24,8.0,1:15,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-25,8.0,1:1600,true,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.31727326,0.16087496,true,,,,shading-v2-grid16x12-screening-coverage
flat-field-26,8.0,1:160,false,near_ceiling,1.00000000,0.99967020,1.00000000,1.00000000,1.00000000,1.00000000,0.89638758,0.99967020,0.99966540,0.90585196,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-27,8.0,1:180,false,near_ceiling,1.00000000,0.99959798,1.00000000,1.00000000,1.00000000,1.00000000,0.78574888,0.99959798,0.99959566,0.79874826,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-28,8.0,1:200,false,near_ceiling,1.00000000,0.99924102,1.00000000,1.00000000,1.00000000,1.00000000,0.63298402,0.99924102,0.99923903,0.62333561,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-29,8.0,1:20,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-30,8.0,1:250,false,near_ceiling,1.00000000,0.97982692,1.00000000,1.00000000,1.00000000,0.99558923,0.13720446,0.97972986,0.97982692,0.08486637,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-31,8.0,1:25,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99995842,1.00000000,1.00000000,0.99995909,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-32,8.0,1:30,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99992596,1.00000000,1.00000000,0.99992861,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-33,8.0,1:320,false,near_ceiling,1.00000000,0.84984304,0.00000000,1.00000000,1.00000000,0.00000000,0.00000017,0.84854571,0.84984304,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-34,8.0,1:400,false,near_ceiling,1.00000000,0.43806054,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.43426051,0.43806054,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-35,8.0,1:40,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99988836,1.00000000,1.00000000,0.99989349,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-36,8.0,1:500,false,near_ceiling,0.11631902,0.00496401,0.00000000,0.08690835,0.11631902,0.00000000,0.00000000,0.00366404,0.00496401,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.97483560,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-37,8.0,1:50,false,near_ceiling,1.00000000,0.99994501,1.00000000,1.00000000,1.00000000,1.00000000,0.99984098,0.99994501,0.99994418,0.99984761,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-38,8.0,1:60,false,near_ceiling,1.00000000,0.99991784,1.00000000,1.00000000,1.00000000,1.00000000,0.99979924,0.99991784,0.99991685,0.99980951,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-39,8.0,1:80,false,near_ceiling,1.00000000,0.99987974,1.00000000,1.00000000,1.00000000,1.00000000,0.99971559,0.99987974,0.99987825,0.99973232,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-40,9.0,1:100,false,near_ceiling,1.00000000,0.99948402,1.00000000,1.00000000,1.00000000,1.00000000,0.98912334,0.99948402,0.99947922,0.99159723,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-41,9.0,1:10,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-42,9.0,1:125,false,near_ceiling,1.00000000,0.99935416,1.00000000,1.00000000,1.00000000,1.00000000,0.91138015,0.99935416,0.99934885,0.91804830,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-43,9.0,1:15,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-44,9.0,1:160,false,near_ceiling,1.00000000,0.99767834,1.00000000,1.00000000,1.00000000,1.00000000,0.54783242,0.99767834,0.99766078,0.51331162,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-45,9.0,1:180,false,near_ceiling,1.00000000,0.99382000,1.00000000,1.00000000,1.00000000,1.00000000,0.33176220,0.99382000,0.99379217,0.28001579,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-46,9.0,1:20,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99992546,1.00000000,1.00000000,0.99990376,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
flat-field-47,9.0,1:25,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99979162,1.00000000,1.00000000,0.99978384,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
