id,input_r,input_g,input_b,input_in_destination,modified,branch,output_r,output_g,output_b,mapping_coordinate_space,input_Lstar,input_Cstar,input_Lab_hue_degrees,output_Lstar,output_Cstar,output_Lab_hue_degrees,input_OkLab_L,input_OkLab_a,input_OkLab_b,input_OkLCh_C,input_OkLCh_h_degrees,input_OkLCh_hue_defined,output_OkLab_L,output_OkLab_a,output_OkLab_b,output_OkLCh_C,output_OkLCh_h_degrees,output_OkLCh_hue_defined,input_mapping_chroma,output_mapping_chroma,boundary_diagnostics_applicable,source_connected_boundary_mapping_chroma,destination_connected_boundary_mapping_chroma,knee_mapping_chroma,destination_boundary_utilization,local_minde_applicable,local_minde_iterations,local_minde_final_delta_e_ok,local_minde_returned_clipped_color,delta_e_2000,delta_e_ok,delta_Lstar,delta_Cstar,delta_Lab_hue_degrees,input_IPT_hue_degrees,output_IPT_hue_degrees,delta_IPT_hue_degrees,IPT_hue_defined,destination_margin_before,destination_margin_after,output_in_destination
p3_r000_g000_b000,0,0,0,true,false,identity_no_mapping_required,0,0,0,CIELAB_D65,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,0,0,false,0,0,0,0,false,0,0,false,0,0,0,0,0,0,0,0,false,0,0,true
p3_r000_g000_b025,0,0,0.25,true,false,identity_no_mapping_required,1.3302787604183444e-17,0,0.26214843023947537,CIELAB_D65,3.6437238555324041,46.602314193127008,302.73212018833499,3.6437238555324041,46.602314193127008,302.73212018833499,0.17280635138141928,-0.012408409812860007,-0.1190982563111391,0.11974290496909479,264.05202261636992,true,0.17280635138141928,-0.012408409812860007,-0.1190982563111391,0.11974290496909479,264.05202261636992,true,46.602314193127008,46.602314193127008,true,46.602314195813925,46.60231419541897,0,0.99999999995081867,false,0,0,false,0,0,0,0,0,252.41553410689085,252.41553410689085,0,true,-3.257742130615647e-18,-3.257742130615647e-18,true
p3_r000_g000_b050,0,0,0.5,true,false,identity_no_mapping_required,0,2.3218883297971203e-16,0.52210615994396348,CIELAB_D65,13.809698238520093,82.582120639327201,306.28880325729324,13.809698238520093,82.582120639327201,306.28880325729324,0.27896788874266271,-0.020031369567585958,-0.1922648609293153,0.19330554186293306,264.05202261636987,true,0.27896788874266271,-0.020031369567585958,-0.1922648609293153,0.19330554186293306,264.05202261636987,true,82.582120639327201,82.582120639327201,true,82.5821206405829,82.582120640411816,0,0.99999999998686617,false,0,0,false,0,0,0,0,0,252.41553410689082,252.41553410689082,0,true,-6.0693347582064394e-17,-6.0693347582064394e-17,true
p3_r000_g000_b075,0,0,0.75,true,false,identity_no_mapping_required,6.7158864161741846e-16,0,0.78206388964845142,CIELAB_D65,24.138385295852164,111.19579105589834,306.28880325729324,24.138385295852164,111.19579105589834,306.28880325729324,0.37562676797090944,-0.026971988219202919,-0.25888222702174574,0.26028349086378016,264.05202261636998,true,0.37562676797090944,-0.026971988219202919,-0.25888222702174574,0.26028349086378016,264.05202261636998,true,111.19579105589834,111.19579105589834,true,111.19579105657462,111.19579105647904,0,0.99999999999477773,false,0,0,false,0,0,0,0,0,252.4155341068909,252.4155341068909,0,true,-3.4137194283726185e-17,-3.4137194283726185e-17,true
p3_r000_g000_b100,0,0,1,false,true,fixed_Lh_radial_boundary_clip,0.14231031344041248,0.057064484208183171,0.99999999999999989,CIELAB_D65,33.833932651533601,138.05546789612066,306.28880325729324,33.833932651533601,130.60352331950358,306.28880325729324,0.46636054039547847,-0.033487152870911197,-0.32141600542695198,0.3231557487528548,264.05202261636987,true,0.46464869511782264,-0.011957531575080876,-0.30417376336480112,0.30440870697283789,267.74877528256764,true,138.05546789612066,130.60352331950358,true,138.05546789614351,130.60352331950358,0,1,false,0,0,false,1.0577896338947022,0.027636025740440818,0,-7.4519445766170804,0,252.41553410689085,255.07929249213399,2.6637583852431419,true,-0.098273600140966533,-4.0301095793893182e-13,true
p3_r000_g025_b000,0,0.25,0,false,true,fixed_Lh_radial_boundary_clip,0,0.24483226016659898,0.047793227174758736,CIELAB_D65,22.013968762866881,55.017193352189501,140.93372179278074,22.013968762866881,38.950393563775748,140.93372179278074,0.31452723877378436,-0.11273401451586239,0.077060736709585562,0.13655517262662276,145.64495558662844,true,0.31781708879024645,-0.081343919536918746,0.05615185282144583,0.098842621479349815,145.38261213624747,true,55.017193352189501,38.950393563775748,true,55.017193354297078,38.950393563775748,0,1,false,0,0,false,5.1620751165086798,0.037859511372515461,0,-16.066799788413753,0,132.21265581008873,134.79747034366244,2.5848145335737058,true,-0.011444076241775302,-9.8051541775366229e-13,true
p3_r000_g025_b025,0,0.25,0.25,false,true,fixed_Lh_radial_boundary_clip,0,0.24768533599097892,0.24396891814800511,CIELAB_D65,23.414146652471725,24.793736846297335,194.36922947246444,23.414146652471725,18.637324073390936,194.36922947246444,0.3308579029998695,-0.074213882287440677,-0.017321578863014702,0.076208512769124021,193.13768775138286,true,0.33304612281030882,-0.055551752819790468,-0.012914153704860168,0.05703308344517112,193.08713897248893,true,24.793736846297335,18.637324073390936,true,24.793736846955447,18.637324073390936,0,1,false,0,0,false,3.4338223312817862,0.019299968360877457,0,-6.1564127729063998,0,200.55871878735934,200.1244040194882,-0.4343147678711432,true,-0.011444076241775314,-9.0598700868438865e-13,true
p3_r000_g025_b050,0,0.25,0.5,false,true,fixed_Lh_radial_boundary_clip,0,0.25426687206388221,0.48618442595347833,CIELAB_D65,27.342491558292636,44.304500837369226,279.97379350519077,27.342491558292636,39.121897747984079,279.97379350519077,0.37507066596200828,-0.047578283357625969,-0.12620061109438868,0.1348713731221555,249.34329750316016,true,0.37520100159856445,-0.033777215747951922,-0.11085937395312931,0.11589090170053669,253.0547947382841,true,44.304500837369226,39.121897747984079,true,44.304500837852565,39.121897747984079,0,1,false,0,0,false,1.8014607406776242,0.020635891344192202,0,-5.1826030893851467,0,245.50248316002475,247.72663536388896,2.2241522038642074,true,-0.011444076241775255,-8.8827832435351107e-13,true
p3_r000_g025_b075,0,0.25,0.75,false,true,fixed_Lh_radial_boundary_clip,0,0.25775586262661959,0.75226135507686087,CIELAB_D65,33.269250129051159,82.574642306653772,296.17249256668731,33.269250129051159,78.002717665813819,296.17249256668731,0.43808726249244134,-0.040130365676377275,-0.21534749067694062,0.21905476025454182,259.44391755664032,true,0.43759785207630569,-0.027931035953115555,-0.20314557608311071,0.2050567430043527,262.1713333783552,true,82.574642306653772,78.002717665813819,true,82.57464230708959,78.002717665813819,0,1,false,0,0,false,0.9911007229527653,0.017261224985712871,0,-4.5719246408399528,0,251.3132643619789,253.09724437076343,1.783980008784539,true,-0.011444076241775337,-8.8632228434016119e-13,true
p3_r000_g025_b100,0,0.25,1,false,true,fixed_Lh_radial_boundary_clip,0.097262373939541152,0.26308849031301018,0.99999999999999989,CIELAB_D65,40.324977164308876,116.98360607251936,301.04066583008631,40.324977164308876,110.27258510381357,301.04066583008631,0.50984474842907157,-0.040720670113273613,-0.29098723069994348,0.29382263596410707,262.03377731507305,true,0.50876582754410837,-0.022518561254583621,-0.27408820829209007,0.27501169343456033,265.30323738158768,true,116.98360607251936,110.27258510381357,true,116.98360607257041,110.27258510381357,0,1,false,0,0,false,1.0977805733321937,0.024860768200535194,0,-6.711020968705796,0,252.39026536944232,254.62031021213386,2.2300448426915409,true,-0.094272905754069658,-9.1660012913052924e-13,true
