id,input_r,input_g,input_b,input_in_destination,modified,branch,output_r,output_g,output_b,mapping_coordinate_space,input_Lstar,input_Cstar,input_Lab_hue_degrees,output_Lstar,output_Cstar,output_Lab_hue_degrees,input_OkLab_L,input_OkLab_a,input_OkLab_b,input_OkLCh_C,input_OkLCh_h_degrees,input_OkLCh_hue_defined,output_OkLab_L,output_OkLab_a,output_OkLab_b,output_OkLCh_C,output_OkLCh_h_degrees,output_OkLCh_hue_defined,input_mapping_chroma,output_mapping_chroma,boundary_diagnostics_applicable,source_connected_boundary_mapping_chroma,destination_connected_boundary_mapping_chroma,knee_mapping_chroma,destination_boundary_utilization,local_minde_applicable,local_minde_iterations,local_minde_final_delta_e_ok,local_minde_returned_clipped_color,delta_e_2000,delta_e_ok,delta_Lstar,delta_Cstar,delta_Lab_hue_degrees,input_IPT_hue_degrees,output_IPT_hue_degrees,delta_IPT_hue_degrees,IPT_hue_defined,destination_margin_before,destination_margin_after,output_in_destination
p3_r000_g000_b000,0,0,0,true,false,identity_no_mapping_required,0,0,0,OkLab_D65,-2.2204460492503131e-16,0,0,-2.2204460492503131e-16,0,0,0,0,0,0,0,false,0,0,0,0,0,false,0,0,false,0,0,0,0,true,0,0,false,0,0,0,0,0,0,0,0,false,0,0,true
p3_r000_g000_b025,0,0,0.25,true,false,identity_no_mapping_required,0,9.9866617126990487e-17,0.26214843023947532,OkLab_D65,3.6437238555324041,46.602314193127008,302.73212018833499,3.6437238555324072,46.602314193126979,302.73212018833493,0.17280635138141928,-0.012408409812860063,-0.1190982563111391,0.11974290496909479,264.05202261636987,true,0.17280635138141928,-0.012408409812860063,-0.1190982563111391,0.11974290496909479,264.05202261636987,true,0.11974290496909479,0.11974290496909479,false,0,0,0,0,true,0,0,false,3.28031688551638e-14,0,3.1086244689504383e-15,-2.8421709430404007e-14,-5.6843418860808015e-14,252.41553410689085,252.41553410689082,-2.8421709430404007e-14,true,-2.4494592153439493e-18,-1.6327247023158405e-17,true
p3_r000_g000_b050,0,0,0.5,true,false,identity_no_mapping_required,0,3.0693761398624294e-16,0.52210615994396348,OkLab_D65,13.809698238520093,82.582120639327201,306.28880325729324,13.809698238520101,82.582120639327172,306.28880325729324,0.27896788874266271,-0.020031369567585736,-0.19226486092931536,0.19330554186293308,264.05202261636992,true,0.27896788874266271,-0.020031369567585736,-0.19226486092931536,0.19330554186293308,264.05202261636992,true,0.19330554186293308,0.19330554186293308,false,0,0,0,0,true,0,0,false,7.5920367589888365e-15,0,7.1054273576010019e-15,-2.8421709430404007e-14,0,252.41553410689085,252.41553410689085,0,true,-5.2593146462781349e-18,-3.297633111417127e-17,true
p3_r000_g000_b075,0,0,0.75,true,false,identity_no_mapping_required,0,7.5396738657163829e-16,0.78206388964845153,OkLab_D65,24.138385295852164,111.19579105589834,306.28880325729324,24.138385295852178,111.19579105589828,306.28880325729324,0.37562676797090949,-0.026971988219203148,-0.25888222702174574,0.26028349086378016,264.05202261636992,true,0.37562676797090949,-0.026971988219203148,-0.25888222702174574,0.26028349086378016,264.05202261636992,true,0.26028349086378016,0.26028349086378016,false,0,0,0,0,true,0,0,false,1.3976355343638314e-14,0,1.4210854715202004e-14,-5.6843418860808015e-14,0,252.41553410689085,252.41553410689085,0,true,-3.2221330325435153e-18,-5.8733284263801348e-17,true
p3_r000_g000_b100,0,0,1,false,true,CSS_Color_4_local_MINDE_initial_clip,0,2.4443944587704741e-15,0.99999999999999989,OkLab_D65,33.833932651533601,138.05546789612066,306.28880325729324,32.300872903980206,133.80841634911238,306.28880325729324,0.46636054039547847,-0.033487152870911086,-0.32141600542695198,0.32315574875285474,264.05202261636992,true,0.45201371817442376,-0.032456975170797479,-0.31152816567757774,0.31321438863448481,264.05202261636998,true,0.32315574875285474,0.31321438863448481,false,0,0,0,0,true,0,0.017454568136899457,true,1.3678488706515721,0.017454568136899457,-1.5330597475533949,-4.247051547008283,0,252.41553410689085,252.41553410689085,0,true,-0.098273600140966311,-2.2204460492503131e-16,true
p3_r000_g025_b000,0,0.25,0,false,true,CSS_Color_4_local_MINDE_binary_search,0,0.25191131089953239,2.7199330877696983e-16,OkLab_D65,22.013968762866881,55.017193352189501,140.93372179278074,22.630989486682452,44.079702659990595,136.72639268650852,0.31452723877378436,-0.11273401451586228,0.077060736709585562,0.13655517262662267,145.64495558662838,true,0.32266112940554165,-0.087099469475584695,0.066845017091569162,0.10979332353517897,142.49534504144393,true,0.13655517262662267,0.10979332353517897,false,0,0,0,0,true,10,0.019953515461855528,true,3.8594999778098678,0.028768924268128868,0.61702072381557116,-10.937490692198907,-4.2073291062722262,132.21265581008873,130.50062025039665,-1.7120355596920831,true,-0.011444076241775295,-9.3402686348274032e-17,true
p3_r000_g025_b025,0,0.25,0.25,false,true,CSS_Color_4_local_MINDE_binary_search,0,0.25517040502250249,0.25235768393825314,OkLab_D65,23.414146652471725,24.793736846297335,194.36922947246444,24.201316212675309,18.954806709296609,194.89025350418379,0.33085790299986945,-0.07421388228744058,-0.017321578863014712,0.076208512769123937,193.13768775138288,true,0.33972585479154149,-0.056510933388360336,-0.013594246967861774,0.05812305173549405,193.52604537682814,true,0.076208512769123937,0.05812305173549405,false,0,0,0,0,true,10,0.019947467155314043,true,3.2994680956595057,0.020147654249551988,0.78716956020358353,-5.8389301370007267,0.52102403171934952,200.55871878735934,200.60060909323244,0.041890305873096167,true,-0.011444076241775304,-9.6595353673946172e-17,true
p3_r000_g025_b050,0,0.25,0.5,false,true,CSS_Color_4_local_MINDE_initial_clip,0,0.25528059305310924,0.51799331871309751,OkLab_D65,27.342491558292636,44.304500837369226,279.97379350519077,28.00625701281604,43.720037206091973,283.40361026916725,0.37507066596200828,-0.047578283357626136,-0.12620061109438876,0.13487137312215564,249.3432975031601,true,0.38219838744083051,-0.032361240749784921,-0.12262092016856541,0.12681932016002623,255.21598862187,true,0.13487137312215564,0.12681932016002623,false,0,0,0,0,true,0,0.017180715536116095,true,2.278445948277148,0.017180715536116095,0.66376545452340352,-0.5844636312772522,3.4298167639764756,245.50248316002472,249.09025840314703,3.5877752431223087,true,-0.011444076241775297,-1.9376947439619927e-16,true
p3_r000_g025_b075,0,0.25,0.75,false,true,CSS_Color_4_local_MINDE_initial_clip,0,0.25528059305310918,0.77962746260173588,OkLab_D65,33.269250129051159,82.574642306653772,296.17249256668731,33.78540810352424,82.279843629436499,297.11040143240541,0.43808726249244134,-0.040130365676377212,-0.21534749067694053,0.21905476025454171,259.44391755664037,true,0.44342106563270212,-0.027784305255355059,-0.21257590450441424,0.21438396114073599,262.55348275098976,true,0.21905476025454171,0.21438396114073599,false,0,0,0,0,true,0,0.013731582347651138,true,1.0213177035629191,0.013731582347651138,0.51615797447308154,-0.2947986772172726,0.93790886571810006,251.31326436197892,253.26271853281389,1.9494541708349686,true,-0.011444076241775226,-2.3340421535364382e-16,true
p3_r000_g025_b100,0,0.25,1,false,true,CSS_Color_4_local_MINDE_initial_clip,0,0.25528059305310974,0.99999999999999989,OkLab_D65,40.324977164308876,116.98360607251936,301.04066583008631,39.598577237779921,111.62603875488151,300.98639777687646,0.50984474842907157,-0.040720670113273613,-0.29098723069994348,0.29382263596410707,262.03377731507305,true,0.50259520761680809,-0.03025354875847238,-0.2777201389676876,0.27936311997239899,263.78297746390035,true,0.29382263596410707,0.27936311997239899,false,0,0,0,0,true,0,0.018388371175199342,true,1.0656279079413409,0.018388371175199342,-0.72639992652895558,-5.3575673176378587,-0.054268053209852951,252.39026536944232,253.57775465878609,1.1874892893437732,true,-0.09427290575406988,-4.4408920985006262e-16,true
p3_r000_g050_b000,0,0.5,0,false,true,CSS_Color_4_local_MINDE_binary_search,0,0.49774722396588106,9.6220081451974115e-17,OkLab_D65,45.367400698715031,94.361281733340832,136.95291954462957,45.851006737989429,71.417410158647286,136.01306868501499,0.50775332649154248,-0.18199082248753706,0.12440208854000941,0.22044622723649995,145.64495558662844,true,0.51660379281326274,-0.13945254690581649,0.1070237044784203,0.17578704775609377,142.49534504144387,true,0.22044622723649995,0.17578704775609377,false,0,0,0,0,true,10,0.01991582184208935,true,4.8985609469236442,0.046795767716433546,0.48360603927439882,-22.943871574693546,-0.93985085961458026,132.21265581008879,130.50062025039659,-1.7120355596921968,true,-0.048146451871365514,-3.7785426347703706e-16,true
p3_r000_g050_b025,0,0.5,0.25,false,true,CSS_Color_4_local_MINDE_binary_search,0,0.4993707019066787,0.24519356351022858,OkLab_D65,45.919719224850681,67.222417696225818,153.96685914195047,46.47124331339262,52.851220686446545,149.47885591704429,0.51419997404824491,-0.15803461297104518,0.071094339026463338,0.17328976870697749,155.77865787310648,true,0.52329994201907171,-0.12187770535659831,0.065376335573566133,0.13830488175049108,151.79047699968379,true,0.17328976870697749,0.13830488175049108,false,0,0,0,0,true,11,0.019954385011723159,true,4.4460779050787256,0.037720378428603603,0.5515240885419388,-14.371197009779273,-4.4880032249061799,148.9772672247141,144.18127355897869,-4.7959936657354092,true,-0.048146451871365514,-5.3251217970377617e-16,true
