id,r,g,b
p3_r000_g000_b000,0,0,0
p3_r000_g000_b025,0,0,0.25
p3_r000_g000_b050,0,0,0.5
p3_r000_g000_b075,0,0,0.75
p3_r000_g000_b100,0,0,1
p3_r000_g025_b000,0,0.25,0
p3_r000_g025_b025,0,0.25,0.25
p3_r000_g025_b050,0,0.25,0.5
p3_r000_g025_b075,0,0.25,0.75
p3_r000_g025_b100,0,0.25,1
p3_r000_g050_b000,0,0.5,0
p3_r000_g050_b025,0,0.5,0.25
p3_r000_g050_b050,0,0.5,0.5
p3_r000_g050_b075,0,0.5,0.75
p3_r000_g050_b100,0,0.5,1
p3_r000_g075_b000,0,0.75,0
p3_r000_g075_b025,0,0.75,0.25
p3_r000_g075_b050,0,0.75,0.5
p3_r000_g075_b075,0,0.75,0.75
p3_r000_g075_b100,0,0.75,1
p3_r000_g100_b000,0,1,0
p3_r000_g100_b025,0,1,0.25
p3_r000_g100_b050,0,1,0.5
p3_r000_g100_b075,0,1,0.75
p3_r000_g100_b100,0,1,1
p3_r025_g000_b000,0.25,0,0
p3_r025_g000_b025,0.25,0,0.25
p3_r025_g000_b050,0.25,0,0.5
p3_r025_g000_b075,0.25,0,0.75
p3_r025_g000_b100,0.25,0,1
p3_r025_g025_b000,0.25,0.25,0
p3_r025_g025_b025,0.25,0.25,0.25
p3_r025_g025_b050,0.25,0.25,0.5
p3_r025_g025_b075,0.25,0.25,0.75
p3_r025_g025_b100,0.25,0.25,1
p3_r025_g050_b000,0.25,0.5,0
p3_r025_g050_b025,0.25,0.5,0.25
p3_r025_g050_b050,0.25,0.5,0.5
p3_r025_g050_b075,0.25,0.5,0.75
p3_r025_g050_b100,0.25,0.5,1
p3_r025_g075_b000,0.25,0.75,0
p3_r025_g075_b025,0.25,0.75,0.25
p3_r025_g075_b050,0.25,0.75,0.5
p3_r025_g075_b075,0.25,0.75,0.75
p3_r025_g075_b100,0.25,0.75,1
p3_r025_g100_b000,0.25,1,0
p3_r025_g100_b025,0.25,1,0.25
p3_r025_g100_b050,0.25,1,0.5
p3_r025_g100_b075,0.25,1,0.75
p3_r025_g100_b100,0.25,1,1
p3_r050_g000_b000,0.5,0,0
p3_r050_g000_b025,0.5,0,0.25
p3_r050_g000_b050,0.5,0,0.5
p3_r050_g000_b075,0.5,0,0.75
p3_r050_g000_b100,0.5,0,1
p3_r050_g025_b000,0.5,0.25,0
p3_r050_g025_b025,0.5,0.25,0.25
p3_r050_g025_b050,0.5,0.25,0.5
p3_r050_g025_b075,0.5,0.25,0.75
p3_r050_g025_b100,0.5,0.25,1
p3_r050_g050_b000,0.5,0.5,0
p3_r050_g050_b025,0.5,0.5,0.25
p3_r050_g050_b050,0.5,0.5,0.5
p3_r050_g050_b075,0.5,0.5,0.75
p3_r050_g050_b100,0.5,0.5,1
p3_r050_g075_b000,0.5,0.75,0
p3_r050_g075_b025,0.5,0.75,0.25
p3_r050_g075_b050,0.5,0.75,0.5
p3_r050_g075_b075,0.5,0.75,0.75
p3_r050_g075_b100,0.5,0.75,1
p3_r050_g100_b000,0.5,1,0
p3_r050_g100_b025,0.5,1,0.25
p3_r050_g100_b050,0.5,1,0.5
p3_r050_g100_b075,0.5,1,0.75
p3_r050_g100_b100,0.5,1,1
p3_r075_g000_b000,0.75,0,0
p3_r075_g000_b025,0.75,0,0.25
p3_r075_g000_b050,0.75,0,0.5
p3_r075_g000_b075,0.75,0,0.75
p3_r075_g000_b100,0.75,0,1
p3_r075_g025_b000,0.75,0.25,0
p3_r075_g025_b025,0.75,0.25,0.25
p3_r075_g025_b050,0.75,0.25,0.5
p3_r075_g025_b075,0.75,0.25,0.75
p3_r075_g025_b100,0.75,0.25,1
p3_r075_g050_b000,0.75,0.5,0
p3_r075_g050_b025,0.75,0.5,0.25
p3_r075_g050_b050,0.75,0.5,0.5
p3_r075_g050_b075,0.75,0.5,0.75
p3_r075_g050_b100,0.75,0.5,1
p3_r075_g075_b000,0.75,0.75,0
p3_r075_g075_b025,0.75,0.75,0.25
p3_r075_g075_b050,0.75,0.75,0.5
p3_r075_g075_b075,0.75,0.75,0.75
p3_r075_g075_b100,0.75,0.75,1
p3_r075_g100_b000,0.75,1,0
p3_r075_g100_b025,0.75,1,0.25
p3_r075_g100_b050,0.75,1,0.5
p3_r075_g100_b075,0.75,1,0.75
p3_r075_g100_b100,0.75,1,1
p3_r100_g000_b000,1,0,0
p3_r100_g000_b025,1,0,0.25
p3_r100_g000_b050,1,0,0.5
p3_r100_g000_b075,1,0,0.75
p3_r100_g000_b100,1,0,1
p3_r100_g025_b000,1,0.25,0
p3_r100_g025_b025,1,0.25,0.25
p3_r100_g025_b050,1,0.25,0.5
p3_r100_g025_b075,1,0.25,0.75
p3_r100_g025_b100,1,0.25,1
p3_r100_g050_b000,1,0.5,0
p3_r100_g050_b025,1,0.5,0.25
p3_r100_g050_b050,1,0.5,0.5
p3_r100_g050_b075,1,0.5,0.75
p3_r100_g050_b100,1,0.5,1
p3_r100_g075_b000,1,0.75,0
p3_r100_g075_b025,1,0.75,0.25
p3_r100_g075_b050,1,0.75,0.5
p3_r100_g075_b075,1,0.75,0.75
p3_r100_g075_b100,1,0.75,1
p3_r100_g100_b000,1,1,0
p3_r100_g100_b025,1,1,0.25
p3_r100_g100_b050,1,1,0.5
p3_r100_g100_b075,1,1,0.75
p3_r100_g100_b100,1,1,1
