camera,aperture,toolkit_center_mtf50,advisory_center_mtf50,toolkit_corner_max_mtf50
D810,1.4,0.10748175,0.1158,
D810,1.8,0.08400337,0.0899,
D810,2,0.10808193,0.1121,
D810,2.8,0.19916913,0.1707,
D810,4,0.19968569,0.1949,0.20081558
D810,5.6,0.27133310,0.2400,0.19979553
D810,8,0.22015897,0.2388,0.19575029
D810,11,0.20481859,0.1989,0.18229727
D810,16,0.16675316,0.1735,
D800,1.4,0.10823167,0.1029,0.09711291
D800,1.8,0.13068439,0.1204,0.10560280
D800,2,0.14452304,0.1377,0.11085472
D800,2.8,0.14434951,0.1395,0.15286979
D800,4,0.14258056,0.1385,0.18832199
D800,5.6,0.16480717,0.1649,0.18857278
D800,8,0.16838469,0.1831,0.17856593
D800,11,0.16740419,0.1707,0.15923471
D800,16,0.14774999,0.1583,0.13644248
